timestamp,floor,x,y,bssid,ssid,rssi_dbm,freq,channel
2026-04-20T19:38:56.847342,2,0,0,9c:d5:7d:5e:d2:2e,eduroam,-72.0,5280,56
2026-04-20T19:38:56.847342,2,0,0,9c:d5:7d:5e:d3:6e,eduroam,-83.0,5320,64
2026-04-20T19:38:56.847342,2,0,0,9c:d5:7d:5e:d2:26,eduroam,-82.0,5180,36
2026-04-20T19:38:56.847342,2,0,0,9c:d5:7d:0f:19:0e,eduroam,-77.0,5220,44
2026-04-20T19:38:59.664800,2,0,0,9c:d5:7d:5e:d2:2e,eduroam,-74.0,5280,56
2026-04-20T19:38:59.664800,2,0,0,9c:d5:7d:5e:d3:6e,eduroam,-84.0,5320,64
2026-04-20T19:38:59.664800,2,0,0,9c:d5:7d:5e:d2:26,eduroam,-78.0,5180,36
2026-04-20T19:38:59.664800,2,0,0,9c:d5:7d:0f:19:0e,eduroam,-77.0,5220,44
2026-04-20T19:38:59.664800,2,0,0,9c:d5:7d:13:8b:2e,eduroam,-74.0,5200,40
2026-04-20T19:38:59.664800,2,0,0,9c:d5:7d:0f:5c:ee,eduroam,-80.0,5200,40
2026-04-20T19:38:59.664800,2,0,0,9c:d5:7d:13:8b:26,eduroam,-75.0,5320,64
2026-04-20T19:39:02.432316,2,0,0,9c:d5:7d:5e:d2:2e,eduroam,-73.0,5280,56
2026-04-20T19:39:02.432316,2,0,0,9c:d5:7d:5e:d3:6e,eduroam,-84.0,5320,64
2026-04-20T19:39:02.432316,2,0,0,9c:d5:7d:5e:d2:26,eduroam,-81.0,5180,36
2026-04-20T19:39:02.432316,2,0,0,9c:d5:7d:0f:19:0e,eduroam,-76.0,5220,44
2026-04-20T19:39:02.432316,2,0,0,9c:d5:7d:13:8b:2e,eduroam,-65.0,5200,40
2026-04-20T19:39:02.432316,2,0,0,9c:d5:7d:0f:5c:ee,eduroam,-82.0,5200,40
2026-04-20T19:39:02.432316,2,0,0,9c:d5:7d:13:8b:26,eduroam,-72.0,5320,64
2026-04-20T19:39:02.432316,2,0,0,9c:d5:7d:0f:1a:81,eduroam,-68.0,2412,1
2026-04-20T19:39:02.432316,2,0,0,9c:d5:7d:0f:69:c1,eduroam,-74.0,2437,6
2026-04-20T19:39:02.432316,2,0,0,9c:d5:7d:0f:6c:0e,eduroam,-87.0,5180,36
2026-04-20T19:41:53.760767,2,20,-8,9c:d5:7d:0f:5c:e6,eduroam,-84.0,5805,161
2026-04-20T19:41:53.760767,2,20,-8,9c:d5:7d:0f:19:0e,eduroam,-70.0,5220,44
2026-04-20T19:41:53.760767,2,20,-8,9c:d5:7d:0f:1a:8e,eduroam,-88.0,5260,52
2026-04-20T19:41:53.760767,2,20,-8,9c:d5:7d:5e:d2:2e,eduroam,-74.0,5280,56
2026-04-20T19:41:53.760767,2,20,-8,9c:d5:7d:0f:1a:86,eduroam,-83.0,5785,157
2026-04-20T19:41:53.760767,2,20,-8,9c:d5:7d:5e:d3:66,eduroam,-85.0,5180,36
2026-04-20T19:41:53.760767,2,20,-8,9c:d5:7d:5e:d2:26,eduroam,-82.0,5180,36
2026-04-20T19:41:53.760767,2,20,-8,9c:d5:7d:13:8b:2e,eduroam,-71.0,5200,40
2026-04-20T19:41:53.760767,2,20,-8,9c:d5:7d:0f:6c:06,eduroam,-91.0,5280,56
2026-04-20T19:41:53.760767,2,20,-8,9c:d5:7d:5e:d3:6e,eduroam,-87.0,5320,64
2026-04-20T19:41:53.760767,2,20,-8,9c:d5:7d:13:8b:26,eduroam,-72.0,5320,64
2026-04-20T19:41:56.578011,2,20,-8,9c:d5:7d:0f:5c:e6,eduroam,-85.0,5805,161
2026-04-20T19:41:56.578011,2,20,-8,9c:d5:7d:0f:19:0e,eduroam,-74.0,5220,44
2026-04-20T19:41:56.578011,2,20,-8,9c:d5:7d:0f:1a:8e,eduroam,-88.0,5260,52
2026-04-20T19:41:56.578011,2,20,-8,9c:d5:7d:5e:d2:2e,eduroam,-73.0,5280,56
2026-04-20T19:41:56.578011,2,20,-8,9c:d5:7d:0f:1a:86,eduroam,-83.0,5785,157
2026-04-20T19:41:56.578011,2,20,-8,9c:d5:7d:5e:d3:66,eduroam,-87.0,5180,36
2026-04-20T19:41:56.578011,2,20,-8,9c:d5:7d:5e:d2:26,eduroam,-80.0,5180,36
2026-04-20T19:41:56.578011,2,20,-8,9c:d5:7d:13:8b:2e,eduroam,-67.0,5200,40
2026-04-20T19:41:56.578011,2,20,-8,9c:d5:7d:0f:6c:06,eduroam,-91.0,5280,56
2026-04-20T19:41:56.578011,2,20,-8,9c:d5:7d:5e:d3:6e,eduroam,-87.0,5320,64
2026-04-20T19:41:56.578011,2,20,-8,9c:d5:7d:13:8b:26,eduroam,-73.0,5320,64
2026-04-20T19:41:56.578011,2,20,-8,9c:d5:7d:0f:6c:0e,eduroam,-85.0,5180,36
2026-04-20T19:41:56.578011,2,20,-8,9c:d5:7d:0f:5d:2e,eduroam,-77.0,5240,48
2026-04-20T19:41:59.344189,2,20,-8,9c:d5:7d:0f:5c:e6,eduroam,-85.0,5805,161
2026-04-20T19:41:59.344189,2,20,-8,9c:d5:7d:0f:19:0e,eduroam,-74.0,5220,44
2026-04-20T19:41:59.344189,2,20,-8,9c:d5:7d:0f:1a:8e,eduroam,-85.0,5260,52
2026-04-20T19:41:59.344189,2,20,-8,9c:d5:7d:5e:d2:2e,eduroam,-73.0,5280,56
2026-04-20T19:41:59.344189,2,20,-8,9c:d5:7d:0f:1a:86,eduroam,-84.0,5785,157
2026-04-20T19:41:59.344189,2,20,-8,9c:d5:7d:5e:d3:66,eduroam,-86.0,5180,36
2026-04-20T19:41:59.344189,2,20,-8,9c:d5:7d:5e:d2:26,eduroam,-77.0,5180,36
2026-04-20T19:41:59.344189,2,20,-8,9c:d5:7d:13:8b:2e,eduroam,-66.0,5200,40
2026-04-20T19:41:59.344189,2,20,-8,9c:d5:7d:0f:6c:06,eduroam,-91.0,5280,56
2026-04-20T19:41:59.344189,2,20,-8,9c:d5:7d:5e:d3:6e,eduroam,-86.0,5320,64
2026-04-20T19:41:59.344189,2,20,-8,9c:d5:7d:13:8b:26,eduroam,-72.0,5320,64
2026-04-20T19:41:59.344189,2,20,-8,9c:d5:7d:0f:6c:0e,eduroam,-83.0,5180,36
2026-04-20T19:41:59.344189,2,20,-8,9c:d5:7d:0f:5d:2e,eduroam,-78.0,5240,48
2026-04-20T19:42:45.776536,2,0,0,9c:d5:7d:0f:19:0e,eduroam,-75.0,5220,44
2026-04-20T19:42:45.776536,2,0,0,9c:d5:7d:5e:d2:2e,eduroam,-76.0,5280,56
2026-04-20T19:42:45.776536,2,0,0,9c:d5:7d:0f:1a:86,eduroam,-83.0,5785,157
2026-04-20T19:42:45.776536,2,0,0,9c:d5:7d:5e:d2:26,eduroam,-76.0,5180,36
2026-04-20T19:42:45.776536,2,0,0,9c:d5:7d:5e:d3:6e,eduroam,-87.0,5320,64
2026-04-20T19:42:45.776536,2,0,0,9c:d5:7d:13:8b:26,eduroam,-75.0,5320,64
2026-04-20T19:42:45.776536,2,0,0,9c:d5:7d:0f:5d:2e,eduroam,-80.0,5240,48
2026-04-20T19:42:45.776536,2,0,0,9c:d5:7d:13:99:8e,eduroam,-81.0,5220,44
2026-04-20T19:42:45.776536,2,0,0,9c:d5:7d:0f:5c:ee,eduroam,-86.0,5200,40
2026-04-20T19:42:45.776536,2,0,0,9c:d5:7d:0f:5b:ee,eduroam,-86.0,5300,60
2026-04-20T19:42:48.493259,2,0,0,9c:d5:7d:0f:19:0e,eduroam,-79.0,5220,44
2026-04-20T19:42:48.493259,2,0,0,9c:d5:7d:5e:d2:2e,eduroam,-72.0,5280,56
2026-04-20T19:42:48.493259,2,0,0,9c:d5:7d:0f:1a:86,eduroam,-83.0,5785,157
2026-04-20T19:42:48.493259,2,0,0,9c:d5:7d:5e:d2:26,eduroam,-77.0,5180,36
2026-04-20T19:42:48.493259,2,0,0,9c:d5:7d:5e:d3:6e,eduroam,-87.0,5320,64
2026-04-20T19:42:48.493259,2,0,0,9c:d5:7d:13:8b:26,eduroam,-73.0,5320,64
2026-04-20T19:42:48.493259,2,0,0,9c:d5:7d:0f:5d:2e,eduroam,-80.0,5240,48
2026-04-20T19:42:48.493259,2,0,0,9c:d5:7d:13:99:8e,eduroam,-81.0,5220,44
2026-04-20T19:42:48.493259,2,0,0,9c:d5:7d:0f:5c:ee,eduroam,-86.0,5200,40
2026-04-20T19:42:48.493259,2,0,0,9c:d5:7d:0f:5b:ee,eduroam,-86.0,5300,60
2026-04-20T19:42:48.493259,2,0,0,9c:d5:7d:0f:1a:81,eduroam,-70.0,2412,1
2026-04-20T19:42:48.493259,2,0,0,9c:d5:7d:13:8b:2e,eduroam,-66.0,5200,40
2026-04-20T19:42:48.493259,2,0,0,9c:d5:7d:0f:6c:06,eduroam,-89.0,5280,56
2026-04-20T19:42:51.361513,2,0,0,9c:d5:7d:0f:19:0e,eduroam,-77.0,5220,44
2026-04-20T19:42:51.361513,2,0,0,9c:d5:7d:5e:d2:2e,eduroam,-70.0,5280,56
2026-04-20T19:42:51.361513,2,0,0,9c:d5:7d:0f:1a:86,eduroam,-84.0,5785,157
2026-04-20T19:42:51.361513,2,0,0,9c:d5:7d:5e:d2:26,eduroam,-77.0,5180,36
2026-04-20T19:42:51.361513,2,0,0,9c:d5:7d:5e:d3:6e,eduroam,-87.0,5320,64
2026-04-20T19:42:51.361513,2,0,0,9c:d5:7d:13:8b:26,eduroam,-73.0,5320,64
2026-04-20T19:42:51.361513,2,0,0,9c:d5:7d:0f:5d:2e,eduroam,-85.0,5240,48
2026-04-20T19:42:51.361513,2,0,0,9c:d5:7d:13:99:8e,eduroam,-83.0,5220,44
2026-04-20T19:42:51.361513,2,0,0,9c:d5:7d:0f:5c:ee,eduroam,-82.0,5200,40
2026-04-20T19:42:51.361513,2,0,0,9c:d5:7d:0f:5b:ee,eduroam,-88.0,5300,60
2026-04-20T19:42:51.361513,2,0,0,9c:d5:7d:0f:1a:81,eduroam,-70.0,2412,1
2026-04-20T19:42:51.361513,2,0,0,9c:d5:7d:13:8b:2e,eduroam,-63.0,5200,40
2026-04-20T19:42:51.361513,2,0,0,9c:d5:7d:0f:6c:06,eduroam,-89.0,5280,56
2026-04-20T19:42:51.361513,2,0,0,9c:d5:7d:0f:1a:8e,eduroam,-87.0,5260,52
2026-04-20T19:43:48.763041,2,15,2,9c:d5:7d:0f:19:0e,eduroam,-65.0,5220,44
2026-04-20T19:43:48.763041,2,15,2,9c:d5:7d:5e:d2:2e,eduroam,-69.0,5280,56
2026-04-20T19:43:48.763041,2,15,2,9c:d5:7d:0f:1a:86,eduroam,-80.0,5785,157
2026-04-20T19:43:48.763041,2,15,2,9c:d5:7d:5e:d2:26,eduroam,-78.0,5180,36
2026-04-20T19:43:48.763041,2,15,2,9c:d5:7d:5e:d3:6e,eduroam,-83.0,5320,64
2026-04-20T19:43:48.763041,2,15,2,9c:d5:7d:13:8b:26,eduroam,-76.0,5320,64
2026-04-20T19:43:48.763041,2,15,2,9c:d5:7d:0f:5d:2e,eduroam,-73.0,5240,48
2026-04-20T19:43:48.763041,2,15,2,9c:d5:7d:0f:5b:ee,eduroam,-82.0,5300,60
2026-04-20T19:43:48.763041,2,15,2,9c:d5:7d:0f:1a:81,eduroam,-63.0,2412,1
2026-04-20T19:43:48.763041,2,15,2,9c:d5:7d:13:8b:2e,eduroam,-75.0,5200,40
2026-04-20T19:43:48.763041,2,15,2,9c:d5:7d:0f:1a:8e,eduroam,-85.0,5260,52
2026-04-20T19:43:48.763041,2,15,2,9c:d5:7d:0f:6c:0e,eduroam,-83.0,5180,36
2026-04-20T19:43:48.763041,2,15,2,9c:d5:7d:5e:d3:66,eduroam,-85.0,5180,36
2026-04-20T19:43:48.763041,2,15,2,9c:d5:7d:13:9c:26,eduroam,-86.0,5765,153
2026-04-20T19:43:48.763041,2,15,2,9c:d5:7d:0f:5c:e6,eduroam,-85.0,5805,161
2026-04-20T19:43:51.532071,2,15,2,9c:d5:7d:0f:19:0e,eduroam,-65.0,5220,44
2026-04-20T19:43:51.532071,2,15,2,9c:d5:7d:5e:d2:2e,eduroam,-68.0,5280,56
2026-04-20T19:43:51.532071,2,15,2,9c:d5:7d:0f:1a:86,eduroam,-81.0,5785,157
2026-04-20T19:43:51.532071,2,15,2,9c:d5:7d:5e:d2:26,eduroam,-78.0,5180,36
2026-04-20T19:43:51.532071,2,15,2,9c:d5:7d:5e:d3:6e,eduroam,-83.0,5320,64
2026-04-20T19:43:51.532071,2,15,2,9c:d5:7d:13:8b:26,eduroam,-76.0,5320,64
2026-04-20T19:43:51.532071,2,15,2,9c:d5:7d:0f:5d:2e,eduroam,-73.0,5240,48
2026-04-20T19:43:51.532071,2,15,2,9c:d5:7d:0f:5b:ee,eduroam,-83.0,5300,60
2026-04-20T19:43:51.532071,2,15,2,9c:d5:7d:0f:1a:81,eduroam,-68.0,2412,1
2026-04-20T19:43:51.532071,2,15,2,9c:d5:7d:13:8b:2e,eduroam,-75.0,5200,40
2026-04-20T19:43:51.532071,2,15,2,9c:d5:7d:0f:1a:8e,eduroam,-83.0,5260,52
2026-04-20T19:43:51.532071,2,15,2,9c:d5:7d:0f:6c:0e,eduroam,-84.0,5180,36
2026-04-20T19:43:51.532071,2,15,2,9c:d5:7d:5e:d3:66,eduroam,-85.0,5180,36
2026-04-20T19:43:51.532071,2,15,2,9c:d5:7d:13:9c:26,eduroam,-87.0,5765,153
2026-04-20T19:43:51.532071,2,15,2,9c:d5:7d:0f:5c:e6,eduroam,-85.0,5805,161
2026-04-20T19:43:51.532071,2,15,2,9c:d5:7d:13:99:8e,eduroam,-80.0,5220,44
2026-04-20T19:43:54.303075,2,15,2,9c:d5:7d:0f:19:0e,eduroam,-64.0,5220,44
2026-04-20T19:43:54.303075,2,15,2,9c:d5:7d:5e:d2:2e,eduroam,-73.0,5280,56
2026-04-20T19:43:54.303075,2,15,2,9c:d5:7d:0f:1a:86,eduroam,-80.0,5785,157
2026-04-20T19:43:54.303075,2,15,2,9c:d5:7d:5e:d2:26,eduroam,-74.0,5180,36
2026-04-20T19:43:54.303075,2,15,2,9c:d5:7d:5e:d3:6e,eduroam,-85.0,5320,64
2026-04-20T19:43:54.303075,2,15,2,9c:d5:7d:13:8b:26,eduroam,-79.0,5320,64
2026-04-20T19:43:54.303075,2,15,2,9c:d5:7d:0f:5d:2e,eduroam,-70.0,5240,48
2026-04-20T19:43:54.303075,2,15,2,9c:d5:7d:0f:5b:ee,eduroam,-86.0,5300,60
2026-04-20T19:43:54.303075,2,15,2,9c:d5:7d:0f:1a:81,eduroam,-68.0,2412,1
2026-04-20T19:43:54.303075,2,15,2,9c:d5:7d:13:8b:2e,eduroam,-74.0,5200,40
2026-04-20T19:43:54.303075,2,15,2,9c:d5:7d:0f:1a:8e,eduroam,-84.0,5260,52
2026-04-20T19:43:54.303075,2,15,2,9c:d5:7d:0f:6c:0e,eduroam,-82.0,5180,36
2026-04-20T19:43:54.303075,2,15,2,9c:d5:7d:5e:d3:66,eduroam,-85.0,5180,36
2026-04-20T19:43:54.303075,2,15,2,9c:d5:7d:13:9c:26,eduroam,-87.0,5765,153
2026-04-20T19:43:54.303075,2,15,2,9c:d5:7d:0f:5c:e6,eduroam,-84.0,5805,161
2026-04-20T19:43:54.303075,2,15,2,9c:d5:7d:13:99:8e,eduroam,-80.0,5220,44
2026-04-20T19:43:54.303075,2,15,2,9c:d5:7d:0f:5c:ee,eduroam,-79.0,5200,40
2026-04-20T19:43:54.303075,2,15,2,9c:d5:7d:0f:6c:06,eduroam,-88.0,5280,56
2026-04-20T19:44:45.943376,2,0,-22,9c:d5:7d:5e:d2:2e,eduroam,-82.0,5280,56
2026-04-20T19:44:45.943376,2,0,-22,9c:d5:7d:13:8b:26,eduroam,-81.0,5320,64
2026-04-20T19:44:45.943376,2,0,-22,9c:d5:7d:0f:5b:ee,eduroam,-61.0,5300,60
2026-04-20T19:44:45.943376,2,0,-22,9c:d5:7d:13:8b:2e,eduroam,-74.0,5200,40
2026-04-20T19:44:45.943376,2,0,-22,9c:d5:7d:0f:6c:0e,eduroam,-74.0,5180,36
2026-04-20T19:44:45.943376,2,0,-22,9c:d5:7d:0f:5c:e6,eduroam,-80.0,5805,161
2026-04-20T19:44:45.943376,2,0,-22,9c:d5:7d:0f:5c:ee,eduroam,-67.0,5200,40
2026-04-20T19:44:45.943376,2,0,-22,9c:d5:7d:5e:ae:0e,eduroam,-80.0,5260,52
2026-04-20T19:44:48.833858,2,0,-22,9c:d5:7d:5e:d2:2e,eduroam,-81.0,5280,56
2026-04-20T19:44:48.833858,2,0,-22,9c:d5:7d:13:8b:26,eduroam,-81.0,5320,64
2026-04-20T19:44:48.833858,2,0,-22,9c:d5:7d:0f:5b:ee,eduroam,-62.0,5300,60
2026-04-20T19:44:48.833858,2,0,-22,9c:d5:7d:13:8b:2e,eduroam,-71.0,5200,40
2026-04-20T19:44:48.833858,2,0,-22,9c:d5:7d:0f:6c:0e,eduroam,-78.0,5180,36
2026-04-20T19:44:48.833858,2,0,-22,9c:d5:7d:0f:5c:e6,eduroam,-79.0,5805,161
2026-04-20T19:44:48.833858,2,0,-22,9c:d5:7d:0f:5c:ee,eduroam,-67.0,5200,40
2026-04-20T19:44:48.833858,2,0,-22,9c:d5:7d:5e:ae:0e,eduroam,-80.0,5260,52
2026-04-20T19:44:48.833858,2,0,-22,9c:d5:7d:5e:d2:26,eduroam,-78.0,5180,36
2026-04-20T19:44:48.833858,2,0,-22,9c:d5:7d:13:9c:2e,eduroam,-76.0,5220,44
2026-04-20T19:44:48.833858,2,0,-22,9c:d5:7d:0f:19:0e,eduroam,-72.0,5220,44
2026-04-20T19:44:48.833858,2,0,-22,9c:d5:7d:0f:5d:2e,eduroam,-80.0,5240,48
2026-04-20T19:44:48.833858,2,0,-22,9c:d5:7d:5e:ae:06,eduroam,-80.0,5785,157
2026-04-20T19:44:51.699523,2,0,-22,9c:d5:7d:5e:d2:2e,eduroam,-80.0,5280,56
2026-04-20T19:44:51.699523,2,0,-22,9c:d5:7d:13:8b:26,eduroam,-81.0,5320,64
2026-04-20T19:44:51.699523,2,0,-22,9c:d5:7d:0f:5b:ee,eduroam,-61.0,5300,60
2026-04-20T19:44:51.699523,2,0,-22,9c:d5:7d:13:8b:2e,eduroam,-71.0,5200,40
2026-04-20T19:44:51.699523,2,0,-22,9c:d5:7d:0f:6c:0e,eduroam,-80.0,5180,36
2026-04-20T19:44:51.699523,2,0,-22,9c:d5:7d:0f:5c:e6,eduroam,-79.0,5805,161
2026-04-20T19:44:51.699523,2,0,-22,9c:d5:7d:0f:5c:ee,eduroam,-66.0,5200,40
